,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
51,51,4,48,49,47,50,14,33,12,3,0,15,66,27,24,53,45,13,46,70,17,56,5,68,34,42,52,40,38,37,21,26,28,6,32,31,7,1,25,9,67,69,22,18,35,11,71,65,57,54,39,43,44,36,41,10,55,8,59,19,16,60,20,2,61,30,63,23,29,64,62,58
52,52,1,69,67,54,71,57,43,44,36,41,39,10,70,19,16,55,30,15,8,48,9,47,49,50,20,51,29,23,13,66,14,5,68,6,3,64,58,62,35,0,12,46,7,4,37,38,40,56,42,34,53,45,18,33,17,28,21,22,32,31,25,2,26,27,24,61,11,63,60,65,59
53,53,12,56,45,7,40,15,4,14,13,6,3,46,33,51,66,50,48,42,34,49,47,70,38,37,57,54,35,5,55,10,9,8,0,26,68,21,39,41,43,44,36,22,52,17,28,27,24,18,31,32,67,69,71,25,1,2,60,19,16,20,59,11,65,61,63,30,23,29,64,62,58
54,54,57,55,10,8,9,41,39,36,43,44,52,70,15,69,67,1,6,7,56,71,53,13,14,16,19,12,5,35,46,38,37,40,30,20,3,4,48,42,34,45,33,47,49,66,29,50,51,68,23,64,62,58,0,18,17,21,28,2,22,31,32,25,26,61,24,27,11,63,60,65,59
55,55,54,8,57,10,9,43,44,41,39,36,52,71,56,7,6,70,15,67,69,1,53,13,20,14,5,12,35,3,16,19,29,40,38,37,46,23,48,47,49,4,34,42,45,30,33,66,68,50,51,0,21,18,62,58,64,17,2,28,22,31,32,25,26,24,27,11,61,63,59,60,65
56,56,3,53,47,49,48,12,15,13,6,34,42,4,5,50,14,7,46,45,33,37,38,70,55,57,51,54,40,8,10,21,68,0,9,35,66,32,31,36,44,41,43,39,18,52,25,17,71,69,67,28,26,59,27,24,1,22,20,16,19,63,2,23,60,61,65,11,29,30,64,58,62
57,57,54,10,55,8,9,41,39,36,43,44,52,6,7,69,67,1,15,56,71,70,53,5,16,19,13,14,12,35,20,46,3,30,4,68,38,37,48,40,42,34,45,33,49,47,50,23,51,29,58,62,64,66,18,17,0,22,21,2,28,61,31,32,25,26,24,27,63,60,65,59,11
58,62,64,58,61,30,16,19,23,63,60,29,65,59,20,67,69,11,1,22,71,2,28,44,43,41,39,36,52,18,17,31,32,25,26,24,27,21,68,57,54,10,70,66,55,8,5,35,9,46,48,0,49,47,15,50,38,37,40,51,42,34,45,3,6,33,7,4,13,14,12,56,53
59,59,63,61,60,65,31,32,25,21,64,62,58,22,28,26,18,27,24,11,17,2,23,68,49,47,48,29,3,20,30,19,16,50,0,42,34,5,66,51,46,45,71,56,33,4,69,67,37,38,12,1,40,35,70,36,44,39,41,43,15,13,53,6,52,14,7,57,8,55,10,54,9
60,60,61,65,59,63,22,26,64,62,58,2,17,28,24,27,32,31,11,18,25,23,30,20,16,19,29,21,68,45,66,67,69,71,12,35,5,50,51,48,46,47,49,33,0,7,40,4,3,1,53,34,42,36,44,39,41,43,6,52,37,38,56,70,15,57,14,13,10,9,8,54,55
61,61,60,65,59,63,62,58,64,22,28,17,32,31,26,23,18,27,24,11,30,16,19,2,25,20,29,68,21,67,69,71,46,1,5,39,41,36,44,43,48,50,6,47,49,66,45,51,3,33,52,0,4,34,42,35,7,12,38,37,40,57,56,53,10,70,9,54,8,15,13,14,55
62,62,64,58,61,30,16,19,23,63,60,29,65,59,20,67,69,11,1,22,71,2,28,44,43,41,39,36,52,18,17,31,32,25,26,24,27,21,68,57,54,10,70,66,55,8,5,35,9,46,48,0,49,47,15,50,38,37,40,51,42,34,45,3,6,33,7,4,13,14,12,56,53
63,63,59,61,60,65,18,25,58,64,62,32,31,22,68,17,26,28,27,24,23,11,21,20,30,2,19,16,29,5,42,34,67,69,48,47,49,71,50,3,0,1,51,45,46,33,66,43,44,41,39,36,4,56,38,37,52,12,6,35,7,40,70,53,15,13,57,10,8,14,54,55,9
64,62,64,58,61,30,16,19,23,63,60,29,65,59,20,67,69,11,1,22,71,2,28,44,43,41,39,36,52,18,17,31,32,25,26,24,27,21,68,57,54,10,70,66,55,8,5,35,9,46,48,0,49,47,15,50,38,37,40,51,42,34,45,3,6,33,7,4,13,14,12,56,53
65,65,61,60,59,63,17,27,24,11,62,64,58,22,26,32,31,28,18,25,2,23,30,16,19,20,21,68,29,51,33,4,67,69,71,5,45,48,66,47,49,0,50,46,3,1,34,42,36,39,41,43,44,12,35,14,6,7,52,40,9,53,37,38,56,70,15,57,10,13,8,54,55
66,66,40,45,70,0,12,26,37,38,21,51,46,4,15,50,14,48,53,47,49,13,35,33,3,69,67,28,68,71,34,42,1,27,24,2,32,31,52,22,25,11,17,56,16,19,18,5,20,44,41,39,43,36,30,29,60,7,54,55,23,59,57,6,65,61,10,9,8,64,58,62,63
67,69,67,71,1,19,16,52,41,43,44,39,36,20,30,68,57,54,23,10,29,62,58,64,70,66,55,8,18,5,17,9,35,48,46,15,49,47,22,50,6,3,51,21,0,7,37,38,4,28,40,42,34,61,45,33,2,13,14,12,32,31,25,26,24,27,63,60,65,56,53,59,11
68,68,5,18,42,34,69,67,71,48,47,49,3,50,17,25,63,21,66,51,31,32,0,20,4,22,19,16,45,46,33,1,56,36,41,39,43,44,52,59,12,6,26,28,27,24,23,38,37,7,70,61,35,53,60,65,15,13,57,40,30,10,29,8,14,2,54,55,62,64,58,9,11
69,69,67,71,1,19,16,52,41,43,44,39,36,20,30,68,57,54,23,10,29,62,58,64,70,66,55,8,18,5,17,9,35,48,46,15,49,47,22,50,6,3,51,21,0,7,37,38,4,28,40,42,34,61,45,33,2,13,14,12,32,31,25,26,24,27,63,60,65,56,53,59,11
70,70,15,13,3,37,38,14,4,40,66,52,54,46,12,1,47,49,48,42,34,41,39,36,44,43,45,50,33,51,56,35,57,53,67,69,5,55,0,21,10,71,19,16,8,68,30,9,6,28,7,20,32,31,25,11,26,24,27,29,18,2,17,23,64,58,62,22,59,63,61,60,65
71,71,69,67,20,1,16,19,52,23,41,43,44,39,36,29,68,55,8,30,57,54,66,10,18,5,62,58,64,17,70,48,9,35,49,47,3,21,22,46,0,50,51,7,6,34,42,40,15,37,38,45,4,31,32,2,33,28,61,13,12,25,56,14,63,26,60,27,24,59,65,53,11
